date,actual_mean_temp,actual_min_temp,actual_max_temp
2014-7-1,82,72,91
2014-7-2,81,73,89
2014-7-3,84,71,96
2014-7-4,81,70,91
2014-7-5,82,73,90
2014-7-6,79,70,88
2014-7-7,81,70,92
2014-7-8,82,72,91
2014-7-9,83,71,94
2014-7-10,82,73,91
2014-7-11,81,72,89
2014-7-12,76,72,79
2014-7-13,80,71,88
2014-7-14,83,73,92
2014-7-15,82,72,91
2014-7-16,81,72,89
2014-7-17,79,69,89
2014-7-18,79,71,87
2014-7-19,82,74,89
2014-7-20,83,73,92
2014-7-21,81,73,88
2014-7-22,81,72,89
2014-7-23,83,72,93
2014-7-24,83,72,93
2014-7-25,84,74,94
2014-7-26,83,73,92
2014-7-27,86,76,95
2014-7-28,87,78,96
2014-7-29,85,75,94
2014-7-30,81,70,92
2014-7-31,81,69,93
2014-8-1,84,74,93
2014-8-2,82,73,91
2014-8-3,81,73,89
2014-8-4,80,75,85
2014-8-5,83,74,92
2014-8-6,84,74,94
2014-8-7,85,74,95
2014-8-8,84,74,94
2014-8-9,84,73,95
2014-8-10,83,74,92
2014-8-11,82,72,92
2014-8-12,82,75,89
2014-8-13,80,74,86
2014-8-14,82,73,91
2014-8-15,81,73,89
2014-8-16,83,73,93
2014-8-17,83,73,93
2014-8-18,84,74,93
2014-8-19,84,73,94
2014-8-20,84,73,95
2014-8-21,85,73,97
2014-8-22,86,73,99
2014-8-23,87,75,98
2014-8-24,82,73,91
2014-8-25,80,74,86
2014-8-26,78,70,85
2014-8-27,77,66,88
2014-8-28,77,64,90
2014-8-29,80,67,92
2014-8-30,82,72,91
2014-8-31,82,71,93
2014-9-1,84,73,94
2014-9-2,83,73,92
2014-9-3,81,70,91
2014-9-4,79,70,88
2014-9-5,79,70,88
2014-9-6,80,73,86
2014-9-7,76,73,78
2014-9-8,80,71,88
2014-9-9,79,71,86
2014-9-10,80,71,88
2014-9-11,80,70,90
2014-9-12,81,71,90
2014-9-13,82,72,91
2014-9-14,82,72,91
2014-9-15,82,72,92
2014-9-16,77,72,82
2014-9-17,80,71,88
2014-9-18,81,69,92
2014-9-19,77,70,84
2014-9-20,73,68,78
2014-9-21,76,64,87
2014-9-22,76,62,89
2014-9-23,75,69,81
2014-9-24,68,63,72
2014-9-25,71,63,78
2014-9-26,74,66,82
2014-9-27,75,71,79
2014-9-28,80,73,86
2014-9-29,76,72,80
2014-9-30,74,70,77
2014-10-1,76,70,82
2014-10-2,78,70,85
2014-10-3,78,68,88
2014-10-4,68,56,80
2014-10-5,60,47,73
2014-10-6,64,50,78
2014-10-7,72,60,84
2014-10-8,76,63,89
2014-10-9,76,64,88
2014-10-10,76,65,87
2014-10-11,75,62,88
2014-10-12,74,62,86
2014-10-13,76,66,86
2014-10-14,79,70,88
2014-10-15,69,59,78
2014-10-16,66,53,78
2014-10-17,66,52,80
2014-10-18,69,54,84
2014-10-19,67,57,76
2014-10-20,69,56,82
2014-10-21,71,59,83
2014-10-22,63,52,74
2014-10-23,61,49,73
2014-10-24,61,46,75
2014-10-25,62,47,77
2014-10-26,65,47,83
2014-10-27,71,54,87
2014-10-28,70,55,84
2014-10-29,72,58,85
2014-10-30,70,59,81
2014-10-31,63,50,75
2014-11-1,50,42,57
2014-11-2,50,37,62
2014-11-3,52,36,68
2014-11-4,61,47,74
2014-11-5,67,56,78
2014-11-6,69,56,82
2014-11-7,55,43,67
2014-11-8,56,41,70
2014-11-9,62,54,70
2014-11-10,59,52,65
2014-11-11,66,52,80
2014-11-12,61,45,77
2014-11-13,64,55,73
2014-11-14,53,44,61
2014-11-15,50,40,60
2014-11-16,62,47,77
2014-11-17,67,52,81
2014-11-18,43,33,52
2014-11-19,40,27,53
2014-11-20,45,24,65
2014-11-21,51,33,68
2014-11-22,62,51,72
2014-11-23,73,68,78
2014-11-24,78,70,86
2014-11-25,66,61,71
2014-11-26,52,41,63
2014-11-27,51,40,61
2014-11-28,44,35,53
2014-11-29,51,34,68
2014-11-30,58,41,74
2014-12-1,63,49,77
2014-12-2,66,52,79
2014-12-3,66,56,76
2014-12-4,65,54,76
2014-12-5,63,60,65
2014-12-6,70,60,79
2014-12-7,59,54,63
2014-12-8,53,49,56
2014-12-9,50,40,60
2014-12-10,48,36,59
